v_min,v_max,r_min,r_max,r_mid,grain,r_squared,n_particles,deviation
40,130,30,50,40.0,1.8458566707432416,0.9997715182681324,4563814,1.7115723778891554
40,100,15,25,20.0,1.8456713315750102,0.999547080660839,3318785,1.7214413431836912
20,100,35,45,40.0,1.8455707671619757,0.999805594648115,2289806,1.7267962107574142
20,150,30,50,40.0,1.8446479595267244,0.9989467464903007,4563814,1.7759339975120045
40,150,165,175,170.0,1.9116934607595328,0.9911792724412087,813527,1.7941139914554285
50,120,140,170,155.0,1.911859896208256,0.9970379744123453,2454368,1.8029763689167273
40,130,35,45,40.0,1.8439047270043827,0.999775301832979,2289806,1.8155097441755703
40,120,170,180,175.0,1.9122632289190435,0.9832069777284431,688282,1.824453084081132
40,150,42,52,47.0,1.8427734549309738,0.996090488443322,2074468,1.8757478737500597
40,120,35,55,45.0,1.9132681124399036,0.9997355837238562,4278477,1.877961258780814
30,100,35,45,40.0,1.8425827479295573,0.999650338931734,2289806,1.8859026661577505
20,150,300,400,350.0,1.8420641028901232,0.9794437653811802,2974998,1.913519547916755
20,150,10,15,12.5,1.8417653844996953,0.9979092722730358,1608899,1.9294257454901278
40,130,42,52,47.0,1.9145007718306297,0.9992570957209526,2074468,1.9435980740484466
20,100,25,30,27.5,1.9151352966433686,0.9982149301199185,1349326,1.97738533777256
40,150,45,55,50.0,1.840789636120704,0.9917311061101269,1988671,1.9813825281840254
40,150,45,55,50.0,1.840789636120704,0.9917311061101269,1988671,1.9813825281840254
30,100,60,80,70.0,1.9157823074075977,0.9975107466279001,3075380,2.011837455143653
40,130,140,170,155.0,1.9162310335776276,0.9974463770840509,2454368,2.0357312874136153
50,120,150,180,165.0,1.9164521508781223,0.9975145875404223,2360502,2.0475053715720115
30,150,40,60,50.0,1.9166554807002953,0.9948915006428262,3993354,2.058332305660035
40,150,40,50,45.0,1.8391930187595507,0.9975160751219346,2130983,2.066399427073974
40,120,172,182,177.0,1.8388461736214183,0.9841510214325885,651619,2.0848682842695183
20,150,42,52,47.0,1.9173641389406704,0.9971631491521435,2074468,2.0960670362444347
30,100,30,45,37.5,1.8384467243185953,0.9998421007102964,3540497,2.10613821519726
60,140,60,90,75.0,1.8381363845974126,0.9975785440531669,4399290,2.1226632269748307
30,120,40,50,45.0,1.918671850491274,0.9998340929151401,2130983,2.1657002391519806
50,120,175,185,180.0,1.8371142758988754,0.9798843297232601,620504,2.1770886102835174
60,140,70,90,80.0,1.8370628360592178,0.9978636335594849,2802530,2.179827685877639
50,150,140,170,155.0,1.9192977702713485,0.9959450329692794,2454368,2.199029300923782
20,120,60,80,70.0,1.9195637547997648,0.9986067994539242,3075380,2.213192481350635
30,150,150,180,165.0,1.9197194490893439,0.9948171820115623,2360502,2.2214829121056443
40,100,40,50,45.0,1.9198139076664955,0.9997706325428166,2130983,2.2265126552979564
30,120,170,180,175.0,1.8355649941807182,0.9887367723400649,688282,2.2595849744026477
30,120,30,45,37.5,1.8353912875729606,0.999887264734493,3540497,2.2688345275313817
30,120,25,30,27.5,1.8348302338178673,0.9974537214058767,1349326,2.2987095943627605
40,100,150,180,165.0,1.83482921303717,0.9938979343691933,2360502,2.2987639490324785
20,120,100,120,110.0,1.8345203603504219,0.996894566741599,2227894,2.3152097789977644
20,120,168,178,173.0,1.921700971504862,0.9920552665855683,738194,2.3269952877988387
30,150,100,130,115.0,1.9217648159235756,0.9913431742936339,3224202,2.330394884109464
40,150,50,60,55.0,1.9218751235404126,0.9874151621204682,1862371,2.3362685591274057
40,100,35,45,40.0,1.8337953316176334,0.9996789673859868,2289806,2.3538162077937423
40,100,30,45,37.5,1.8335841446553618,0.999706794542684,3540497,2.3650615199487808
20,120,300,400,350.0,1.9224812939167415,0.9765374414417344,2974998,2.368546001956422
60,140,40,50,45.0,1.8328169444714095,0.9983772294861201,2130983,2.4059134999249396
30,100,300,400,350.0,1.9232038176747248,0.9686089062375602,2974998,2.4070190455125093
30,150,165,175,170.0,1.9233082896055977,0.9934830611692936,813527,2.412581981128746
40,100,20,30,25.0,1.8319324801364925,0.9978935299622975,2858022,2.4530095773965623
30,150,35,50,42.5,1.8317172511725597,0.9986437642745521,3313123,2.4644701186070406
20,100,10,15,12.5,1.9242989294205093,0.9992009179002821,1608899,2.4653317050324492
40,120,30,45,37.5,1.8311823849921542,0.9998183205995019,3540497,2.4929507458916746
20,150,200,250,225.0,1.8311241447304125,0.9780038273217422,2952052,2.4960519312879326
30,150,60,80,70.0,1.830649948914269,0.9967397776087281,3075380,2.5213019747460588
40,130,40,55,47.5,1.925543363005183,0.9987761431522059,3096337,2.531595474184406
20,120,160,190,175.0,1.830003412265473,0.9967030282971922,2160304,2.555728846353939
50,120,42,52,47.0,1.9260567251082146,0.9996840659086649,2074468,2.558931049425702
40,120,60,80,70.0,1.8294472238920185,0.9985073892655384,3075380,2.585344840680584
20,100,30,40,35.0,1.8289865245341446,0.9996196142948145,2432831,2.609876222888995
40,100,60,80,70.0,1.8285616160327811,0.9977341244697949,3075380,2.632501808691096
40,150,38,48,43.0,1.8285197376246802,0.9980153157716536,2192532,2.6347317558743164
20,150,35,45,40.0,1.8280433521864823,0.9994817606220717,2289806,2.660098392626071
30,120,15,20,17.5,1.82731901446352,0.9994119034327597,1810089,2.698668026436625
30,100,40,50,45.0,1.9297351767105024,0.9998207736640862,2130983,2.7548017417732984
20,120,40,50,45.0,1.9298826920147567,0.9998446672763632,2130983,2.762656656802813
20,100,160,190,175.0,1.8259959069960123,0.9954202439275502,2160304,2.769121033226175
20,150,10,20,15.0,1.825716364526366,0.9981719377220464,3418988,2.784006148755793
50,150,110,140,125.0,1.9304935015340223,0.9673944697171376,2947819,2.7951811253473076
40,100,35,55,45.0,1.930519757945948,0.9997528920756793,4278477,2.79657923034868
30,120,35,55,45.0,1.9305960234599513,0.9997036303354381,4278477,2.800640226834473
30,150,45,60,52.5,1.9308233487898756,0.9919170341961258,2885688,2.812744876990187
40,100,168,178,173.0,1.9308723971947448,0.9769540622078238,738194,2.8153566131387064
30,100,170,180,175.0,1.8248578271282285,0.9845094808424505,688282,2.829721665163545
40,130,200,250,225.0,1.8248000949077094,0.9489990046984468,2952052,2.8327957983115253
50,120,30,45,37.5,1.8247493806261939,0.9998575764875336,3540497,2.8354962392867966
50,120,40,55,47.5,1.931377132048086,0.9994888741182218,3096337,2.8422328034124615
60,140,42,52,47.0,1.8241919318546926,0.9968690025852827,2074468,2.86517934746045
20,120,30,40,35.0,1.823611149752687,0.9997200977397186,2432831,2.896104911997491
60,140,35,45,40.0,1.8236091942891999,0.9989274396036305,2289806,2.8962090367838136
30,120,5,15,10.0,1.823516197187265,0.9987298316261641,2067671,2.9011609591445575
40,120,15,20,17.5,1.822553945437078,0.9991356821042463,1810089,2.9523990715080854
40,130,30,45,37.5,1.8224739076153416,0.9997746100636042,3540497,2.956660936350284
40,120,10,15,12.5,1.8222628054147842,0.999163058131264,1608899,2.9679017351020045
20,150,30,45,37.5,1.8220796705665088,0.9993433400315668,3540497,2.9776533244670462
20,100,168,178,173.0,1.9349003556720854,0.9898005641005558,738194,3.0298378952122214
40,120,10,20,15.0,1.8206900211202486,0.9993531054221023,3418988,3.051649567611891
20,150,40,55,47.5,1.9355653329164282,0.9965189018110848,3096337,3.065246694165511
40,150,35,55,45.0,1.8203735727450507,0.9964750158333765,4278477,3.0684998538311583
30,150,35,45,40.0,1.8202531607782655,0.999236257788006,2289806,3.074911566652524
20,150,5,15,10.0,1.819750140255074,0.9974360487170179,2067671,3.1016964720407834
40,120,42,52,47.0,1.936739476288152,0.9997333094733755,2074468,3.127767640476684
30,150,30,50,40.0,1.8189516303157702,0.9988333867999735,4563814,3.144215638137895
20,100,60,80,70.0,1.9373832506265773,0.9984400121987403,3075380,3.1620474242054026
30,120,20,30,25.0,1.8171536458093458,0.9980944260409425,2858022,3.2399549622286528
30,100,100,120,110.0,1.9391489447585561,0.995810141174282,2227894,3.2560673460360094
30,120,15,25,20.0,1.8162085578230611,0.9990814058023476,3318785,3.2902791361522246
60,140,35,50,42.5,1.8160855173760597,0.9985031205399385,3313123,3.2968308106464415
50,150,40,60,50.0,1.8160788462933666,0.9923147118434322,3993354,3.297186033367056
20,100,40,50,45.0,1.9399862455679266,0.9998558752313338,2130983,3.3006520536702215
40,100,170,180,175.0,1.9403369015678869,0.9759236733157208,688282,3.319323832155855
50,150,40,50,45.0,1.8154728004832508,0.9966256931767792,2130983,3.3294568432773763
60,140,40,60,50.0,1.8152992518643705,0.9947363061897125,3993354,3.338697983792834
40,150,35,50,42.5,1.8148584702013046,0.9981671899386588,3313123,3.362168785873017
20,150,15,20,17.5,1.8146279089037036,0.9979813044841696,1810089,3.374445745276692
40,130,100,120,110.0,1.8145289401419618,0.9912896818604784,2227894,3.3797156473928727
20,150,100,130,115.0,1.9417091601013048,0.9947160070526758,3224202,3.39239404160303
20,150,25,30,27.5,1.8141790999104537,0.996155322263188,1349326,3.3983439877287656
40,100,5,15,10.0,1.8135624368177297,0.9995449702256253,2067671,3.4311801481507045
20,150,165,175,170.0,1.9427412654174232,0.9952868534277244,813527,3.4473517261673754
50,120,200,250,225.0,1.943327079315861,0.9293155158743962,2952052,3.4785452244867483
30,120,20,25,22.5,1.8124999148465923,0.9979773055362916,1508696,3.4877574629077506
60,140,80,100,90.0,1.8124940668042697,0.9978829132946399,2529450,3.4880688602625227
60,140,40,55,47.5,1.812087379239987,0.9959732135693083,3096337,3.509724215123159
50,120,60,80,70.0,1.8109728627869208,0.9977739829218879,3075380,3.5690701391415907
50,150,38,48,43.0,1.810565552090874,0.9972148043931927,2192532,3.5907586746073368
40,120,165,175,170.0,1.946324453308622,0.98925929074287,813527,3.638149803441003
30,150,168,178,173.0,1.809282302633044,0.9892378007887213,738194,3.6590893166643172
30,100,35,55,45.0,1.9472937486839437,0.999734980475388,4278477,3.6897629757158565
40,150,35,45,40.0,1.8086880726985242,0.9990042875073927,2289806,3.69073095322022
50,150,42,52,47.0,1.808683571443548,0.9948964041787265,2074468,3.690970636658776
30,120,160,190,175.0,1.808677997535577,0.9947509902574402,2160304,3.691267436870234
30,150,10,15,12.5,1.8084977876566344,0.9977875712126649,1608899,3.700863277069516
30,120,42,52,47.0,1.9476219420723706,0.999784898986526,2074468,3.7072386620005706
20,150,150,180,165.0,1.947807961460338,0.9957762314582947,2360502,3.7171438477283383
40,130,10,15,12.5,1.8076904933770146,0.9990082892233421,1608899,3.7438501929172148
40,150,168,178,173.0,1.8073097947732373,0.9845031745727718,738194,3.764121684066167
20,150,15,25,20.0,1.806780238479289,0.9977014985155004,3318785,3.79231956979291
50,120,60,90,75.0,1.80654690261693,0.9969056247761863,4399290,3.8047442695990323
40,100,175,185,180.0,1.8058679885707856,0.9732798681640561,620504,3.840895177274459
30,120,165,175,170.0,1.95082750347297,0.9924278696033575,813527,3.8779288324265275
40,130,60,80,70.0,1.8051359154392268,0.9984331689245651,3075380,3.8798767071764164
40,150,350,400,375.0,1.950887248280144,0.9536251603554722,1283843,3.8811101320630534
20,120,5,10,7.5,1.8044612137117164,0.9961593865766969,458772,3.9158033167350093
30,120,150,180,165.0,1.9517797116288895,0.9948678238744186,2360502,3.9286321421133996
20,120,35,55,45.0,1.9518876966867666,0.9996536699858297,4278477,3.9343821451952485
40,130,15,20,17.5,1.8040798337495898,0.9987533809589352,1810089,3.9361110889462245
50,150,35,45,40.0,1.8039781384134161,0.9985283334830808,2289806,3.9415261760694222
40,100,165,175,170.0,1.952311711640064,0.9830942794051983,813527,3.956960151228116
50,150,45,60,52.5,1.8029786980338678,0.9882178367424155,2885688,3.9947445136385573
40,130,10,20,15.0,1.8028634476801972,0.9990151234503175,3418988,4.000881380181185
50,150,40,55,47.5,1.8028276663822793,0.9941099969734727,3096337,4.002786667610255
40,100,42,52,47.0,1.9532520947735643,0.9997136082282266,2074468,4.007033800509288
30,120,30,40,35.0,1.8026726218706086,0.9998068680507237,2432831,4.011042498902624
20,150,20,30,25.0,1.8024905692423736,0.9968517316196072,2858022,4.020736462067427
40,120,40,55,47.5,1.9539292092642717,0.9995082066760833,3096337,4.043088885211493
30,100,30,40,35.0,1.8019847512310505,0.9996985696128515,2432831,4.047670328485058
60,140,170,180,175.0,1.8019686101251047,0.966588219323723,688282,4.04852981229474
30,150,30,45,37.5,1.8013070072873845,0.9992737490095563,3540497,4.083758930384208
40,120,30,40,35.0,1.8007794242192676,0.9996705754610321,2432831,4.1118517455129
30,150,100,120,110.0,1.8005037526879755,0.9951308380574674,2227894,4.126530740789374
30,120,172,182,177.0,1.8004804414940294,0.989168388063842,651619,4.1277720184222835
50,150,50,60,55.0,1.8004449542521563,0.9839555918954596,1862371,4.129661647914992
50,120,10,20,15.0,1.8004400470340005,0.9992832230172454,3418988,4.129922948136282
40,150,30,50,40.0,1.8002401877866359,0.9984361858852067,4563814,4.140565080583815
40,130,45,55,50.0,1.956407969759297,0.9979014601627699,1988671,4.175078261943408
40,130,45,55,50.0,1.956407969759297,0.9979014601627699,1988671,4.175078261943408
30,100,165,175,170.0,1.956454643987173,0.9890762672958684,813527,4.177563577591756
50,150,120,150,135.0,1.9568842823451293,0.9659733699064112,2673270,4.200441019442462
50,120,45,55,50.0,1.9575248048634921,0.9990281115906766,1988671,4.234547649813218
50,120,45,55,50.0,1.9575248048634921,0.9990281115906766,1988671,4.234547649813218
40,100,30,40,35.0,1.7983966236217332,0.9994210075012369,2432831,4.23873143654242
20,100,175,185,180.0,1.7983403751115676,0.9918778447001843,620504,4.241726564879247
20,150,100,120,110.0,1.7981336520434286,0.9970664984315946,2227894,4.252734182991018
50,120,15,20,17.5,1.7974674540204159,0.9992328424668435,1810089,4.288207986133336
30,150,10,20,15.0,1.797415087546943,0.9979294859805097,3418988,4.290996403251166
40,130,40,60,50.0,1.958766062851495,0.9978008772186187,3993354,4.300642324360758
50,120,350,400,375.0,1.958771500453462,0.9333970107356444,1283843,4.300931866531531
40,120,15,25,20.0,1.7966245223599362,0.9989520930968876,3318785,4.333092526094979
60,140,35,55,45.0,1.796620727757147,0.9969177387003463,4278477,4.333294581621555
40,100,25,30,27.5,1.7964112807891501,0.9970556643788026,1349326,4.344447242324269
50,150,35,50,42.5,1.7958510550548141,0.9974474276978986,3313123,4.374278218593491
50,120,10,15,12.5,1.795246626561761,0.999232042376903,1608899,4.40646290938439
40,130,165,175,170.0,1.9611133730362356,0.9911634862119593,813527,4.425632217051953
20,150,170,180,175.0,1.7944917552154664,0.9895285534483637,688282,4.446658401732346
20,150,30,40,35.0,1.794384908712205,0.9992732596542763,2432831,4.452347778902816
30,100,42,52,47.0,1.9616717429628896,0.9998053583911654,2074468,4.455364375020751
40,120,20,25,22.5,1.7940542965473025,0.9975370844818842,1508696,4.469952260527017
50,120,40,60,50.0,1.9627530367859352,0.9986551933218827,3993354,4.512941255907096
40,100,100,120,110.0,1.9628234481262783,0.993552399930373,2227894,4.516690528555825
30,100,172,182,177.0,1.793150143214565,0.9840421989127431,651619,4.518096740438499
40,120,20,30,25.0,1.7931298454960976,0.9979394633829817,2858022,4.519177556118336
60,140,30,50,40.0,1.7930155023523666,0.9987883866630387,4563814,4.525266115422432
30,100,160,190,175.0,1.7926159533202826,0.9920814396878365,2160304,4.546541356747462
30,150,140,170,155.0,1.9636889493860352,0.9962699178505549,2454368,4.562776857616365
40,120,160,190,175.0,1.7918606782013948,0.991446975000341,2160304,4.586758349233497
30,100,150,180,165.0,1.9644705211779783,0.991945108623186,2360502,4.604394098933886
20,150,20,25,22.5,1.7913825403312873,0.997052057987196,1508696,4.612218299718456
40,130,30,40,35.0,1.7907321589201555,0.9996268718797883,2432831,4.646849897755295
20,150,40,60,50.0,1.9653966185136726,0.9957440102858286,3993354,4.653707056106111
60,140,150,180,165.0,1.9654488804484964,0.9979590690869953,2360502,4.656489906735704
20,150,45,55,50.0,1.9654491828593872,0.9935988965511173,1988671,4.656506009552039
20,150,45,55,50.0,1.9654491828593872,0.9935988965511173,1988671,4.656506009552039
50,150,165,175,170.0,1.9655873764522214,0.9898408969729208,813527,4.663864560821166
50,120,30,40,35.0,1.7897198212510974,0.9997482016014804,2432831,4.700754991954339
40,120,60,90,75.0,1.7897095935096197,0.9978981968756626,4399290,4.701299600126743
20,150,160,190,175.0,1.789113104106342,0.9961919600383241,2160304,4.7330615491830645
20,120,165,175,170.0,1.9670829168003092,0.9948668955593585,813527,4.7434992971410725
50,150,130,160,145.0,1.9680073838207657,0.9803955919321434,2489962,4.792725443065271
60,140,45,60,52.5,1.7877357031195111,0.9915780054988319,2885688,4.8064055846905624
20,100,35,55,45.0,1.968396066458094,0.9997125270262122,4278477,4.81342206912109
40,150,30,45,37.5,1.7874319707596888,0.999011158868375,3540497,4.822578766789726
40,130,160,190,175.0,1.7872740362314137,0.9931754231071741,2160304,4.830988486080203
60,140,170,200,185.0,1.786532977920218,0.9646149161752408,1953528,4.870448460052288
60,140,30,45,37.5,1.7864441033076373,0.9990718091297894,3540497,4.875180867537947
50,150,35,55,45.0,1.786145288083518,0.9954879971328264,4278477,4.8910922213249135
40,130,172,182,177.0,1.7861088150369293,0.9835651875361866,651619,4.893034343081501
20,120,200,250,225.0,1.7846722456814492,0.9679573270147848,2952052,4.969528983948385
40,130,60,90,75.0,1.7843033912870485,0.9982421043510746,4399290,4.989169793021905
40,150,100,120,110.0,1.7822684196728853,0.9934770800479511,2227894,5.09752823893049
50,150,70,90,80.0,1.7817351322089918,0.9972584101462922,2802530,5.125924802503092
30,100,5,10,7.5,1.781591817717482,0.9976660136852958,458772,5.13355603208295
60,140,70,100,85.0,1.781518290740648,0.9982987228910535,4008070,5.137471206568263
40,120,5,15,10.0,1.7809659701903944,0.9994388185038793,2067671,5.166881246517866
20,100,165,175,170.0,1.9752020251317144,0.9932007126840715,813527,5.175826684329846
50,150,45,55,50.0,1.7796449635856788,0.9902550255811008,1988671,5.237222386279079
50,150,45,55,50.0,1.7796449635856788,0.9902550255811008,1988671,5.237222386279079
30,120,140,170,155.0,1.9767827814222274,0.9957195721087937,2454368,5.259999010768239
50,150,160,190,175.0,1.7791112481605746,0.9909567143365399,2160304,5.265641737988566
30,120,300,400,350.0,1.7789563433624163,0.9644217028170079,2974998,5.2738901297967855
30,120,60,90,75.0,1.77842948419235,0.9985810678188652,4399290,5.301944398703401
